,Hotel,Point,Country,member,Room type,Date,Review Title,Review Contents
0,아스타 호텔 제주 (ASTAR Hotel Jeju),10.0,HEESU (대한민국),나홀로 여행객,현장 임의 배정,2021년 6월 | 3박,아스타 상세 후기 남긴다. 꼭 보셈.,['4성급 호텔임. 방도 나름 큼직해서 캐리어 2개 바닥에 둘 수 있었음. 청소 매일 해주심. 매일 생수 2병 리필해주심. 샤워기 수압 나름 강하고 온수 개빨리 나옴. 화장실 세면대 조명이 ㄹㅈㄷ임. 사진 개 잘나옴. 어메니티는 샴푸•린스•바디워시•바디로션•비누•헤어드라이기•면봉•머리끈 정도? 기억남. 주차장 호텔 바로 뒤에 잇는거에 10대? 정도 가능하고 바로 그 위에도 양쪽으로 주차장 20대? 정도 댈 수 있음.지하주차장 내려가는 입구가 좁고 한 대만 딱 내려갈 정도임. 밤 너무 늦게 오는거 아니면 웬만하면 야외에 주차 가능함. 에어컨도 냄새 안나고 시원함. 시내에 있어서 주변에 먹을거 많고 배달앱으로도 시킬 곳 많이 나옴. 직원분들 친절하심. 침대 나름 푹신하고 베개는 사바사인 듯. 나는 불편한거 1도 없었음. 티비 다시보기에 무료인 드라마 많아서 좋았음. 로스쿨 존잼. *칫솔•치약 없음. 냉장고에 냉동 기능 없음. 넷플 안됨. 모텔 같은 호텔 갈 빠엔 돈 조금 더 내고 여기로 오세요. 너무 좋음 .. 제주도 다시 오게 되면 여기로 또 올거임 ㅠ']
1,아스타 호텔 제주 (ASTAR Hotel Jeju),10.0,YOUNGKYEONG (대한민국),커플/2인 여행객,디럭스 더블,2020년 7월 | 1박,내돈 내고 간 아스타 숙박 후기,['일단 2달 전에 미리 숙소를 예약해서 6만원 초반으로 제주도 치고 엄청 저렴하게 숙소를 예약했어요 숙소 안에 편의점이 있어서 코로나때문에 나가기 힘들때 이것 저것 사기 편해서 좋았어요 근처에 배달 음식점도 많아서 배달 시키는 것도 엄청 편합니다. 다만..... 칫솔 치약 같은 어메니티는 별도 구매 하셔야 하고 (가성비 생각하면 어쩌면 당연한 일) 숙소 안에 있는 사우나도 투숙객 1인당 1만원 계산 후 이용이 가능합니다 (무료인줄 알고 갔었어서 쵸큼 실망...) 물론 코로나 때문에 이용하시는 분들은 많이 없겠죠? 직원 분들은 엄청 친절하시고 체크인때 따로 발열 체크도 하고 있기 때문에 안심하고 이용할 수 있었어요. 여러모로 가성비 고려해서 엄청 좋았던 숙소입니다. P.S. 침대 샤워실 화장실 및 기타 등등 숙박에는 아무런 지장이 없었어요 편안하고 조용해서 좋았습니다 ^^']
2,아스타 호텔 제주 (ASTAR Hotel Jeju),10.0,Jihyeung (대한민국),커플/2인 여행객,디럭스 더블,2021년 7월 | 1박,침대가엄청 푹신해서 좋았어요. ,"['딱딱한 침대랑 딱딱한 이불 베개 싫어하는데 여기 침구너무좋더라구요. 100만원대 호텔방에 엄청나게 푹신한 마약침대와 이불 베개에 감탄한적있었는데 그거 절반 느낌은 줬어요. 너무 좋았고 숙소도 깨끗했어요. 다만 조금 지나니 담배 쩐내? 같이 방에 배인 냄새가 올라왓는데 이건 숙박객들 문제인거같아요. 대체적으류 깨끗해서 너무 잘 이용했고 1층에 편의점이 있어서 너무 편했어요. 호텔 내에서 준비하여 제공하는 피자, 치킨, 맥주, 안심스테이크 등등 음식도 있었는데 가격도 저렴했지만 동문시장에서 먹을걸 너무 많이 사서 아쉽게도 먹어보질 못했네요. 암튼 다음에도 또 이용할거같아요. 7층이라 뷰도 좋았어요. 동문시장이랑 가까운것도 좋았고 산지해장국도 맛있게 먹고 금방 돌아올 수 있었네요. 제 남친도 기대안했는 숙소에 흡족해 했어요.']"
3,아스타 호텔 제주 (ASTAR Hotel Jeju),9.6,eunjoo (대한민국),청소년 동반 가족 여행객,디럭스 더블,2021년 3월 | 1박,군더더기 없이 딱 떨어지는 숙소네요,['평일 퇴근후 저녁비행기라 도착이 9시 30분경이었구요. 그래서 공항근처 숙소잡아 1박하고 나머지 일정은 다른곳에서 지냈습니다. 데스크 직원들 친절했구요. 방은 딱 하루 지내기 좋았습니다. 테이블도 없어서...ㅠ.ㅠ 화장대 의자를 침대 사이에 놓고 테이블삼아 늦은 저녁을 먹었드랬죠...ㅎㅎ 아침에 숙소에서 9시부터 애들 화상수업을 해야하는 관계로 조식포함가에 조식이 나름 나쁘지않다해서 살짝 기대하고 내려갔는데... 훔.. 기대만큼 실망도 컸습니다. 전체적인 룸 컨디션은 보통수준이고 조식도 그럭저럭이었는데 왜 추천하냐...? 늦은 비행기에 아이가 있는 가족은 하루정도는 괜찮습니다.. 그리고 담날 다른곳으로 움직이실때 좋습니다.. 공항이 가까우니까요..^^']
4,아스타 호텔 제주 (ASTAR Hotel Jeju),10.0,yen (대한민국),출장 여행객,디럭스 트윈,2019년 11월 | 1박,장애인 휠체어 이용 장애인 접근가능 너무 좋아요,['디럭스 트윈 사용 했고 제주 도청과 공항 근처에 있어 좋아요 휠체어 이용장애인이 욕실까지 들어가서 씻을수 있고 호텔은 신축이라 깨끗하고 직원분들 너무 친절하고 좋았어요 다음에 또 이용 의사 있습니다']
5,아스타 호텔 제주 (ASTAR Hotel Jeju),10.0,TAEJUN (대한민국),나홀로 여행객,프리미어 트리플룸,2022년 8월 | 1박,좋아요!!,['가격도 좋아요 조식도 좋아요 호텔내부에 사우나가 있어요 직원분들이 친절해요.(대표님인지 지배인님이신지 친절하셔요) 방 깨끗하고 깔끔해요 온돌방 형식의 방이라 바닥은 신발벗고 들어가는데 엄청 좋았습니다. 소음은 딱히 없었어요 주변에 시설이 다양하게 있어요.']
6,아스타 호텔 제주 (ASTAR Hotel Jeju),10.0,LEE (대한민국),그룹 여행객,디럭스 트윈,2020년 8월 | 1박,숙소 정말 추천합니다!,"['신제주 시내에 있는 숙소입니다. 기대 안했는데 가격대비 매우 훌륭합니다! 숙소/시설이 깨끗하고 주차하기도 어렵지 않구요. 편의점도 있어서 물품 구매하기 편합니다. 또한 조식이 정말 맛있어요! 가짓수가 많지 않은데, 메뉴구성이 조화로와서 먹기 좋습니다. 후식으로 맛있는 와플까지 준비되어 있어서 엄마랑 저는 매우 만족했어요. 재방문 의사 200% 입니다!! (ps : 침대 매트리스는 싱글은 부드럽고, 더블은 약간 딱딱. 고려하시면 좋겠어요)']"
7,아스타 호텔 제주 (ASTAR Hotel Jeju),10.0,은지 (대한민국),나홀로 여행객,현장 임의 배정,2022년 1월 | 2박,최고,['딱히 부대시설을 이용하지 않는 홀로 여행객에게 저렴한 가격으로 2박 머물기 좋았어요. 위치 좋았고 해물라면이 맛있었어요. 직원분들도 친절하셨네요 다만 전자렌지 이용하려고 여쭤봤더니 호텔 1층 로비 편의점 이용하라 하시던데 편의점 점주님과 협의된 사항은 아닌듯.?']
8,아스타 호텔 제주 (ASTAR Hotel Jeju),10.0,Chihoon (대한민국),커플/2인 여행객,디럭스 트윈,2019년 9월 | 2박,가성비가 좋은 호텔,"['후기가 좋아 예약했습니다. 이틀 머물렀습니다. 후기를 보면서 청소상태, 방음에 대해서 걱정했지만 걱정과 달리 깔끔하고 깨끗해서 좋았습니다. 방정리도 잘 해주셨고요. 직원분들도 친절하게 응대해주셔서 좋았습니다. 다음에도 재이용할 예정입니다~~']"
9,아스타 호텔 제주 (ASTAR Hotel Jeju),10.0,MinHwa (대한민국),커플/2인 여행객,디럭스 트윈,2021년 5월 | 3박,가성비 좋은 호텔,['위치가 좋고 주차시설이 편리합니다 직원도 친절하고 룸컨디션도 만족스럽고 비데있으며 조식도 투숙객할인 만원인데 좋습니다 다만 제가 투숙한 방은 방충망에 구멍이 나있었고 비데가 조금 고장난것 같았어요 가성비 좋은 호텔입니다']
